标题,来源,时间,挂牌时间,土地编号,土地坐落,使用权面积,竞得人,成交价,爬取地址url,唯一标识,
郑州市国土资源局挂牌出让结果公示〔2018年8月10日至2018年8月24日〕,本站,2018-08-29 14:22:21 ,2018年8月10日至2018年8月24日,〔2018〕98号（网）土地,南北大街东、新城路南,44426.12平方米,河南兴汉正商置业有限公司,24164万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1739223.jhtml,78def6fa41c6aa2f00f70bff483639c8,
郑州市国土资源局挂牌出让结果公示〔2018年8月14日至2018年8月29日〕,本站,2018-09-04 14:22:47 ,2018年8月14日至2018年8月29日,〔2018〕100号（网）土地,石化路南、二里岗街西,46421.43平方米,河南惠昌城乡建设发展有限公司,30815万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1739234.jhtml,13522431dd4bb53af107a15bcfe78feb,
郑州市国土资源局挂牌出让结果公示〔2018年8月17日至2018年8月31日〕,本站,2018-09-06 14:23:14 ,2018年8月17日至2018年8月31日,〔2018〕102号（网）土地,景怡路北、经三街西,21240.28平方米,河南太极汇生科技产业园发展有限公司,16258万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1739241.jhtml,84a4c76a94631dc7f8589cbc891abd7a,
郑州市国土资源局挂牌出让结果公示〔2018年8月24日至2018年9月7日〕,本站,2018-09-11 14:23:40 ,2018年8月24日至2018年9月7日,〔2018〕104号（网）土地,贺江路南、紫荆山南路东,69679.74平方米,郑州绿基置业有限公司,63132万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1958572.jhtml,914dcdb25f0cf091f327d53bd2021d6a,
郑州市国土资源局挂牌出让结果公示〔2018年8月28日至2018年9月11日〕,本站,2018-09-13 14:24:32 ,2018年8月28日至2018年9月11日,〔2018〕105号（网）土地,冉屯北路东、农业路北,4290.6平方米,河南鑫利置业有限公司,5901万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1739258.jhtml,7ee123645243eb17611d3fe84e42b6f9,
郑州市国土资源局挂牌出让结果公示〔2018年8月31日至2018年9月14日〕,本站,2018-09-15 14:28:07 ,2018年8月31日至2018年9月14日,〔2018〕106号（网）土地,国泰北路北、中州大道西,44215.14平方米,河南中永置业有限公司,66300万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1739269.jhtml,a892374b75de24243a53e4805aca684b,
郑州市国土资源局挂牌出让结果公示〔2018年8月31日至2018年9月14日〕,本站,2018-09-21 14:28:39 ,2018年9月6日至2018年9月20日,〔2018〕107号（网）土地,杓袁北路北、杓袁东路东,41309.62平方米,郑州保利亨业房地产开发有限公司,37336万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1739279.jhtml,8f9c3696c483320b4b4dfb9b30752cd4,
郑州市国土资源局挂牌出让结果公示〔2017年10月10日至2017年10月23日〕,本站,2017-10-27 17:46:30 ,,〔2017〕54号（网）土地,紫荆山南路东、郑航北路南,49722.57平方米,河南晨光正商置业有限公司,52417万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1724180.jhtml,393d665ddd23f23b853dd2cc69cc2fca,
郑州市国土资源局挂牌出让结果公示〔2017年6月1日至2017年6月14日〕,本站原创,2017-06-17 16:31:00 ,,〔2017〕11号（网）土地,花溪东路南、紫荆山南路西,33174.72平方米,郑州宏略房地产开发有限公司,22393万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712175.jhtml,9655818b937d43366ef05181083fe460,
郑州市国土资源局挂牌出让结果公示〔2016年12月2日至2016年12月16日〕,本站原创,2016-12-23 16:34:34 ,,〔2016〕121号（网）土地,国泰北路北、黄家庵东路西,37130.78平方米,郑州市建设投资集团有限公司,24006万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1714226.jhtml,f890581f4886df91be9385d83529b650,
郑州市国土资源局挂牌出让结果公示〔2016年12月12日至2016年12月23日〕,本站原创,2016-12-29 15:53:32 ,,〔2016〕139号（网）土地,孟砦中街东、孟砦北街北,35845.31平方米,河南骏惠房地产开发有限公司,43097万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1714303.jhtml,082de4f0dfd155d69798406992519482,
郑州市国土资源局挂牌出让结果公示〔2016年12月15日至2016年1月4日〕,本站原创,2017-01-10 15:57:07 ,,〔2016〕148号（网）土地,创新大道东、河阳路北,89055.27平方米,郑州泉舜中州上城房地产有限公司,120609万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1714380.jhtml,7944649e57388ba65dd20be4fd074d0d,
