标题,来源,时间,序号,批准文号,用地单位,供地方式,批准时间,位置,用途,面积,容积率,供应方案文号,爬取地址url,唯一标识,
2014年11月-2015划拨结果,本站,2015-12-19 10:24:13 ,,,郑州市交通运输委员会,划拨,2015-07-16,郑花公路与北四交叉口,街巷用地,13.21042,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715227.jhtml,f5a8ca1066e1828578e1592d3bddc9c5,
2014年11月-2015划拨结果,本站,2015-12-19 10:24:13 ,,,郑州市公安局惠济第一分局,划拨,2015-07-17,绿洲路北、丰川街西,监教场所用地,0.66741,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715227.jhtml,f5a8ca1066e1828578e1592d3bddc9c5,
2014年11月-2015划拨结果,本站,2015-12-19 10:24:13 ,,,河南裕华置业有限公司,划拨,2015-08-05,流云路西、长柳路北,经济适用住房用地,1.35449,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715227.jhtml,f5a8ca1066e1828578e1592d3bddc9c5,
2014年11月-2015划拨结果,本站,2015-12-19 10:24:13 ,,,河南省核工业地质局（河南省核工业放射性核素检测中心）,划拨,2015-08-18,开元路南、东风渠滨河路东,科教用地,1.93946,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715227.jhtml,f5a8ca1066e1828578e1592d3bddc9c5,
2014年11月-2015划拨结果,本站,2015-12-19 10:24:13 ,,,郑州市畜牧局,划拨,2015-08-21,化肥东路东、冉屯北路南,科教用地,0.798437,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715227.jhtml,f5a8ca1066e1828578e1592d3bddc9c5,
2014年11月-2015划拨结果,本站,2015-12-19 10:24:13 ,,,郑州市二七区教育体育局,划拨,2015-09-07,航海中路南、齐礼阎东街西,科教用地,1.103626,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715227.jhtml,f5a8ca1066e1828578e1592d3bddc9c5,
2014年11月-2015划拨结果,本站,2015-12-19 10:24:13 ,,,中州大学,划拨,2015-09-07,开元路南、桂圆南街西,科教用地,30.07662,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715227.jhtml,f5a8ca1066e1828578e1592d3bddc9c5,
2014年11月-2015划拨结果,本站,2015-12-19 10:24:13 ,,,中国民用航空中南地区空中交通管理局河南分局,划拨,2015-09-10,中原区航西街道办事处道李村,机场用地,0.482207,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715227.jhtml,f5a8ca1066e1828578e1592d3bddc9c5,
2014年11月-2015划拨结果,本站,2015-12-19 10:24:13 ,,,河南正基置业有限公司,划拨,2015-10-10,昌达路（主一路）南、民强路东,经济适用住房用地,2.765651,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715227.jhtml,f5a8ca1066e1828578e1592d3bddc9c5,
2014年11月-2015划拨结果,本站,2015-12-19 10:24:13 ,,,郑州同汇置业有限公司,划拨,2015-10-12,北岗路南、雪松路西,经济适用住房用地,2.037086,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715227.jhtml,f5a8ca1066e1828578e1592d3bddc9c5,
2014年11月-2015划拨结果,本站,2015-12-19 10:24:13 ,,,郑州同汇置业有限公司,划拨,2015-10-12,樊楼路南、雪松路西,经济适用住房用地,2.87193,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715227.jhtml,f5a8ca1066e1828578e1592d3bddc9c5,
2014年11月-2015划拨结果,本站,2015-12-19 10:24:13 ,,,河南弘居置业有限公司,划拨,2015-10-14,许庄路东、西岗路北,经济适用住房用地,1.407883,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715227.jhtml,f5a8ca1066e1828578e1592d3bddc9c5,
2014年11月-2015划拨结果,本站,2015-12-19 10:24:13 ,,,中铁电气化局集团第三工程有限公司,划拨,2015-10-15,航海路北、熊耳河南,经济适用住房用地,3.128517,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715227.jhtml,f5a8ca1066e1828578e1592d3bddc9c5,
2014年11月-2015划拨结果,本站,2015-12-19 10:24:13 ,,,河南聚龙置业有限公司,划拨,2015-11-12,郑上路北、爱民路东,经济适用住房用地,2.261237,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715227.jhtml,f5a8ca1066e1828578e1592d3bddc9c5,
2014年11月-2015划拨结果,本站,2015-12-19 10:24:13 ,,,河南全通置业有限公司,划拨,2015-11-12,云梦路东、北岗路南,经济适用住房用地,2.195161,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715227.jhtml,f5a8ca1066e1828578e1592d3bddc9c5,
2014年11月-2015划拨结果,本站,2015-12-19 10:24:13 ,,,河南全通置业有限公司,划拨,2015-11-12,云梦路东、北岗路北,经济适用住房用地,0.934563,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715227.jhtml,f5a8ca1066e1828578e1592d3bddc9c5,
2014年11月-2015划拨结果,本站,2015-12-19 10:24:13 ,,,郑州大学,划拨,2015-11-27,翠竹街北、长椿路东,科教用地,43.78347,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715227.jhtml,f5a8ca1066e1828578e1592d3bddc9c5,
2014年11月-2015划拨结果,本站,2015-12-19 10:24:13 ,,,郑州大学,划拨,2015-11-27,西四环路东、科学大道北,科教用地,208.2482,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715227.jhtml,f5a8ca1066e1828578e1592d3bddc9c5,
2014年11月-2015划拨结果,本站,2015-12-19 10:24:13 ,,,国网河南省电力公司郑州供电公司,划拨,2015-12-07,西四环东、北四环南,公共设施用地,4.012402,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715227.jhtml,f5a8ca1066e1828578e1592d3bddc9c5,
2016年1-5月划拨结果,本站,2016-05-20 10:22:37 ,,,河南省医药科学研究院,划拨,2016-04-26,枫杨街北、春藤路西,科教用地,,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715220.jhtml,2dcd55622b51e580a1a0ed5b5ba04620,
2016年1-5月划拨结果,本站,2016-05-20 10:22:37 ,,,郑州高新技术产业开发区外国语小学,划拨,2016-01-06,金梭路北、石楠路西,科教用地,,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715220.jhtml,2dcd55622b51e580a1a0ed5b5ba04620,
2016年1-5月划拨结果,本站,2016-05-20 10:22:37 ,,,京广铁路客运专线河南有限责任公司,划拨,2016-01-13,一零七辅道南,铁路用地,,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715220.jhtml,2dcd55622b51e580a1a0ed5b5ba04620,
2016年1-5月划拨结果,本站,2016-05-20 10:22:37 ,,,河南永嘉房地产开发有限公司,划拨,2016-03-10,连云路东、赣江路北,经济适用住房用地,,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715220.jhtml,2dcd55622b51e580a1a0ed5b5ba04620,
